video_name,frame_id,shed_decision
seed10484-1-train,36,True
seed335500-0-train,36,True
seed949563-3-train,37,True
seed949563-2-train,31,False
seed10484-1-train,32,True
seed335500-0-train,31,True
seed949563-3-train,32,True
seed949563-1-train,32,True
seed949563-0-train,32,True
seed10484-3-train,32,True
seed949563-2-train,32,True
seed949563-2-train,33,True
seed949563-2-train,34,True
seed949563-2-train,35,True
seed949563-2-train,36,True
seed949563-1-train,37,True
seed949563-0-train,37,True
seed10484-3-train,37,True
seed10484-1-train,38,True
seed335500-0-train,38,True
seed949563-3-train,39,True
seed949563-1-train,39,True
seed949563-0-train,39,True
seed10484-3-train,39,True
seed10484-1-train,39,True
seed335500-0-train,39,True
seed949563-3-train,40,True
seed949563-1-train,40,True
seed949563-0-train,40,True
seed10484-3-train,40,True
seed10484-1-train,40,True
seed335500-0-train,40,True
seed949563-3-train,41,True
seed949563-1-train,41,True
seed949563-0-train,41,True
seed10484-3-train,41,True
seed10484-1-train,41,True
seed335500-0-train,41,True
seed949563-3-train,42,True
seed949563-1-train,42,True
seed949563-0-train,42,True
seed949563-2-train,37,False
seed10484-1-train,37,True
seed335500-0-train,37,True
seed949563-3-train,38,True
seed949563-1-train,38,True
seed949563-0-train,38,True
seed10484-3-train,38,True
seed949563-2-train,38,True
seed949563-2-train,39,True
seed949563-2-train,40,True
seed949563-2-train,41,True
seed10484-3-train,42,True
seed949563-2-train,42,True
seed10484-1-train,42,True
seed335500-0-train,42,True
seed949563-1-train,44,True
seed949563-0-train,44,True
seed10484-3-train,44,True
seed10484-1-train,44,True
seed335500-0-train,44,True
seed949563-3-train,45,True
seed949563-1-train,45,True
seed949563-0-train,45,True
seed10484-3-train,45,True
seed10484-1-train,45,True
seed335500-0-train,45,True
seed949563-3-train,46,True
seed949563-1-train,46,True
seed949563-0-train,46,True
seed10484-3-train,46,True
seed10484-1-train,46,True
seed335500-0-train,46,True
seed949563-3-train,47,True
seed949563-1-train,47,True
seed949563-0-train,47,True
seed10484-3-train,47,True
seed949563-3-train,43,False
seed949563-1-train,43,True
seed949563-0-train,43,True
seed10484-3-train,43,True
seed949563-2-train,43,True
seed10484-1-train,43,True
seed335500-0-train,43,True
seed949563-3-train,44,True
seed949563-2-train,44,True
seed949563-2-train,45,True
seed949563-2-train,46,True
seed949563-2-train,47,True
seed10484-1-train,47,True
seed335500-0-train,47,True
seed949563-3-train,48,True
seed949563-1-train,48,False
seed949563-0-train,48,True
seed10484-3-train,48,True
seed949563-2-train,48,True
seed10484-1-train,48,True
seed335500-0-train,48,True
seed949563-3-train,49,True
seed949563-1-train,49,True
seed949563-0-train,49,True
seed10484-3-train,49,True
seed949563-2-train,49,True
seed10484-1-train,49,True
seed335500-0-train,49,True
seed949563-3-train,50,True
seed949563-1-train,50,True
seed949563-0-train,50,False
seed10484-3-train,50,True
seed949563-2-train,50,True
seed10484-1-train,50,True
seed335500-0-train,50,True
seed949563-3-train,51,True
seed949563-1-train,51,True
seed949563-0-train,51,True
seed10484-3-train,51,True
seed949563-2-train,51,True
seed10484-1-train,51,True
seed335500-0-train,51,True
seed949563-3-train,52,True
seed949563-1-train,52,True
seed949563-0-train,52,True
seed10484-3-train,52,False
seed949563-2-train,52,False
seed10484-1-train,52,False
seed335500-0-train,52,False
seed949563-1-train,54,True
seed949563-0-train,54,True
seed10484-3-train,54,True
seed949563-2-train,53,True
seed10484-1-train,54,True
seed335500-0-train,54,True
seed949563-3-train,55,True
seed949563-1-train,55,True
seed949563-0-train,55,True
seed10484-3-train,55,True
seed949563-2-train,54,True
seed10484-1-train,55,True
seed335500-0-train,55,True
seed949563-3-train,56,True
seed949563-1-train,56,True
seed949563-0-train,56,True
seed10484-3-train,56,True
seed949563-2-train,55,True
seed10484-1-train,56,True
seed335500-0-train,56,True
seed949563-3-train,57,True
seed949563-1-train,57,True
seed949563-0-train,57,True
seed10484-3-train,57,True
seed949563-2-train,56,True
seed10484-1-train,57,True
seed335500-0-train,57,True
seed949563-3-train,58,True
seed949563-1-train,58,True
seed949563-3-train,53,False
seed949563-0-train,58,True
seed949563-1-train,53,False
seed10484-3-train,58,True
seed949563-0-train,53,False
seed949563-2-train,57,True
seed10484-3-train,53,False
seed10484-1-train,58,True
seed335500-0-train,58,True
seed949563-3-train,59,True
seed10484-1-train,59,True
seed335500-0-train,59,True
seed949563-3-train,60,True
seed949563-1-train,60,True
seed949563-0-train,60,True
seed10484-3-train,60,True
seed949563-2-train,59,True
seed10484-1-train,60,True
seed335500-0-train,60,True
seed949563-3-train,61,True
seed949563-1-train,61,True
seed949563-0-train,61,True
seed10484-3-train,61,True
seed949563-2-train,60,True
seed10484-1-train,61,True
seed335500-0-train,61,True
seed949563-3-train,62,True
seed949563-1-train,62,True
seed949563-0-train,62,True
seed10484-3-train,62,True
seed949563-2-train,61,True
seed10484-1-train,62,True
seed335500-0-train,62,True
seed949563-3-train,63,True
seed949563-1-train,63,True
seed949563-0-train,63,True
seed10484-3-train,63,True
seed949563-2-train,58,False
seed10484-1-train,53,True
seed335500-0-train,53,True
seed949563-3-train,54,True
seed949563-2-train,63,True
seed949563-1-train,59,False
seed949563-0-train,59,False
seed10484-3-train,59,False
seed10484-1-train,64,True
seed335500-0-train,64,True
seed949563-3-train,65,True
seed949563-1-train,65,True
seed949563-0-train,65,True
seed10484-3-train,65,True
seed949563-2-train,64,True
seed10484-1-train,65,True
seed335500-0-train,65,True
seed949563-3-train,66,True
seed949563-1-train,66,True
seed949563-0-train,66,True
seed10484-3-train,66,True
seed949563-2-train,65,True
seed10484-1-train,66,True
seed335500-0-train,66,True
seed949563-3-train,67,True
seed949563-1-train,67,True
seed949563-0-train,67,True
seed10484-3-train,67,True
seed949563-2-train,67,True
seed10484-1-train,67,True
seed335500-0-train,67,True
seed949563-3-train,68,True
seed949563-1-train,68,True
seed949563-0-train,68,True
seed10484-3-train,68,True
seed949563-2-train,68,True
seed10484-1-train,68,True
seed949563-2-train,62,False
seed335500-0-train,68,True
seed10484-1-train,63,False
seed949563-3-train,69,True
seed949563-1-train,69,True
seed949563-0-train,69,True
seed10484-3-train,69,True
seed949563-2-train,69,True
seed949563-3-train,70,True
seed949563-1-train,70,True
seed949563-0-train,70,True
seed10484-3-train,70,True
seed949563-2-train,70,True
seed10484-1-train,70,True
seed335500-0-train,70,True
seed949563-3-train,71,True
seed949563-1-train,71,True
seed949563-0-train,71,True
seed10484-3-train,71,True
seed949563-2-train,71,True
seed10484-1-train,71,True
seed335500-0-train,71,True
seed949563-3-train,72,True
seed949563-1-train,72,True
seed949563-0-train,72,True
seed10484-3-train,72,True
seed949563-2-train,72,True
seed10484-1-train,72,True
seed335500-0-train,72,True
seed949563-3-train,73,True
seed949563-1-train,73,True
seed949563-0-train,73,True
seed10484-3-train,73,True
seed949563-2-train,73,True
seed10484-1-train,73,True
seed335500-0-train,73,True
seed949563-3-train,74,True
seed949563-1-train,74,True
seed335500-0-train,63,False
seed949563-3-train,64,True
seed949563-1-train,64,True
seed949563-0-train,64,True
seed10484-3-train,64,True
seed949563-2-train,66,True
seed10484-1-train,69,True
seed335500-0-train,69,True
seed949563-0-train,74,False
seed10484-3-train,74,False
seed10484-1-train,75,True
seed335500-0-train,75,True
seed949563-3-train,76,True
seed949563-1-train,76,True
seed949563-0-train,76,True
seed10484-3-train,76,True
seed949563-2-train,76,True
seed10484-1-train,76,True
seed335500-0-train,76,True
seed949563-3-train,77,True
seed949563-1-train,77,True
seed949563-0-train,77,True
seed10484-3-train,77,True
seed949563-2-train,77,True
seed10484-1-train,77,True
seed335500-0-train,77,True
seed949563-3-train,78,True
seed949563-1-train,78,True
seed949563-0-train,78,True
seed10484-3-train,78,True
seed949563-2-train,78,True
seed10484-1-train,78,True
seed335500-0-train,78,True
seed949563-3-train,79,True
seed949563-1-train,79,True
seed949563-0-train,79,True
seed10484-3-train,79,True
seed949563-2-train,79,True
seed949563-2-train,74,False
seed10484-1-train,74,False
seed335500-0-train,74,False
seed949563-3-train,75,False
seed949563-1-train,75,False
seed949563-0-train,75,False
seed10484-3-train,75,False
seed10484-1-train,80,True
seed335500-0-train,80,True
seed949563-3-train,81,True
seed949563-1-train,81,True
seed949563-0-train,81,True
seed10484-3-train,81,True
seed949563-2-train,81,True
seed10484-1-train,81,True
seed335500-0-train,81,True
seed949563-3-train,82,True
seed949563-1-train,82,True
seed949563-0-train,82,True
seed10484-3-train,82,True
seed949563-2-train,82,True
seed10484-1-train,82,True
seed335500-0-train,82,True
seed949563-3-train,83,True
seed949563-1-train,83,True
seed949563-0-train,83,True
seed10484-3-train,83,True
seed949563-2-train,83,True
seed10484-1-train,83,True
seed335500-0-train,83,True
seed949563-3-train,84,True
seed949563-1-train,84,True
seed949563-0-train,84,True
seed10484-3-train,84,True
seed949563-2-train,84,True
seed10484-1-train,84,True
seed335500-0-train,84,True
seed949563-2-train,75,False
seed949563-3-train,85,True
seed949563-1-train,85,True
seed10484-1-train,79,False
seed949563-0-train,85,True
seed335500-0-train,79,False
seed949563-3-train,80,False
seed949563-1-train,80,True
seed10484-3-train,85,True
seed949563-0-train,80,True
seed10484-3-train,80,False
seed949563-2-train,86,True
seed10484-1-train,86,True
seed335500-0-train,86,True
seed949563-3-train,87,True
seed949563-1-train,87,True
seed949563-0-train,87,True
seed10484-3-train,87,True
seed949563-2-train,87,True
seed10484-1-train,87,True
seed335500-0-train,87,True
seed949563-3-train,88,True
seed949563-1-train,88,True
seed949563-0-train,88,True
seed10484-3-train,88,True
seed949563-2-train,88,True
seed10484-1-train,88,True
seed335500-0-train,88,True
seed949563-3-train,89,True
seed949563-1-train,89,True
seed949563-0-train,89,True
seed10484-3-train,89,True
seed949563-2-train,89,True
seed10484-1-train,89,True
seed335500-0-train,89,True
seed949563-3-train,90,True
seed949563-1-train,90,True
seed949563-2-train,80,False
seed949563-0-train,90,True
seed10484-1-train,85,False
seed10484-3-train,90,True
seed335500-0-train,85,False
seed949563-2-train,90,True
seed949563-3-train,86,False
seed949563-1-train,86,False
seed949563-0-train,86,False
seed10484-3-train,86,False
seed10484-1-train,91,True
seed335500-0-train,91,True
seed949563-3-train,92,True
seed949563-1-train,92,True
seed949563-0-train,92,True
seed10484-3-train,92,True
seed949563-2-train,92,True
seed10484-1-train,92,True
seed335500-0-train,92,True
seed949563-3-train,93,True
seed949563-1-train,93,True
seed949563-0-train,93,True
seed10484-3-train,93,True
seed949563-2-train,93,True
seed10484-1-train,93,True
seed335500-0-train,93,True
seed949563-3-train,94,True
seed949563-1-train,94,True
seed949563-0-train,94,True
seed10484-3-train,94,True
seed949563-2-train,94,True
seed10484-1-train,94,True
seed335500-0-train,94,True
seed949563-3-train,95,True
seed949563-1-train,95,True
seed949563-0-train,95,True
seed10484-3-train,95,True
seed949563-2-train,85,False
seed949563-2-train,95,True
seed10484-1-train,90,False
seed949563-3-train,96,True
seed949563-1-train,96,True
seed949563-0-train,96,True
seed10484-3-train,96,True
seed949563-2-train,96,True
seed10484-1-train,96,True
seed335500-0-train,96,True
seed949563-3-train,97,True
seed949563-1-train,97,True
seed949563-0-train,97,True
seed10484-3-train,97,True
seed949563-2-train,97,True
seed10484-1-train,97,True
seed335500-0-train,97,True
seed949563-3-train,98,True
seed949563-1-train,98,True
seed949563-0-train,98,True
seed10484-3-train,98,True
seed949563-2-train,98,True
seed10484-1-train,98,True
seed335500-0-train,98,True
seed949563-3-train,99,True
seed949563-1-train,99,True
seed949563-0-train,99,True
seed10484-3-train,99,True
seed949563-2-train,99,True
seed10484-1-train,99,True
seed335500-0-train,99,True
seed949563-3-train,100,True
seed949563-1-train,100,True
seed949563-0-train,100,True
seed10484-3-train,100,True
seed949563-2-train,100,True
seed10484-1-train,100,True
seed335500-0-train,90,False
seed949563-3-train,91,True
seed949563-1-train,91,True
seed949563-0-train,91,True
seed10484-3-train,91,True
seed949563-2-train,91,True
seed10484-1-train,95,True
seed335500-0-train,95,True
seed949563-3-train,102,True
seed949563-1-train,102,True
seed949563-0-train,102,True
seed10484-3-train,102,True
seed949563-2-train,102,True
seed10484-1-train,102,True
seed335500-0-train,102,True
seed949563-3-train,103,True
seed949563-1-train,103,True
seed949563-0-train,103,True
seed10484-3-train,103,True
seed949563-2-train,103,True
seed10484-1-train,103,True
seed335500-0-train,103,True
seed949563-3-train,104,True
seed949563-1-train,104,True
seed949563-0-train,104,True
seed10484-3-train,104,True
seed949563-2-train,104,True
seed10484-1-train,104,True
seed335500-0-train,104,True
seed949563-3-train,105,True
seed949563-1-train,105,True
seed949563-0-train,105,True
seed10484-3-train,105,True
seed949563-2-train,105,True
seed10484-1-train,105,True
seed335500-0-train,105,True
seed949563-3-train,106,True
seed335500-0-train,100,False
seed949563-3-train,101,True
seed949563-1-train,101,True
seed949563-0-train,101,True
seed10484-3-train,101,True
