video,segment_id,frame_id,threshold,utility,shed_decision,useful_gt,shedder_begin,shedder_end,filter_begin,filter_end,detection_begin,detection_end,det_filter_begin,det_filter_end,det_sink_begin,det_sink_end
test_video-train-or-red-red_model-0.33-3000,1,90,0.0006453427459361941,-0.00022253142037302717,true,false,1639510739808005551,1639510740028470004,1639510740028509505,1639510740044920271,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,93,0.000657973337510232,-0.0002241393063583815,true,false,1639510740090408361,1639510740311663037,1639510740311700638,1639510740321250109,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,96,0.000657973337510232,-0.00022253142037302717,true,false,1639510740373678896,1639510740595134478,1639510740595178679,1639510740606174091,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,99,0.0006453427459361941,-0.00017503453077137292,true,false,1639510740659702309,1639510740886526543,1639510740886564044,1639510740896548827,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,102,0.0006706785443693664,-0.00017503453077137292,true,false,1639510740948763808,1639510741183404764,1639510741183479066,1639510741193040337,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,105,0.0006832763093795495,-0.00022540752625437572,true,false,1639510741246280047,1639510741468549752,1639510741468587753,1639510741478671739,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,108,0.0006706785443693664,-0.0002212462121212121,true,false,1639510741530536610,1639510741753224527,1639510741753292629,1639510741764176238,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,111,0.0006706785443693664,-0.00022039687590396306,true,false,1639510741815637097,1639510742035838043,1639510742035954947,1639510742052812525,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,114,0.0006832763093795495,-0.00022716822157434403,true,false,1639510742098187912,1639510742318782369,1639510742318822470,1639510742329088062,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,117,0.0006706785443693664,-0.00022135156924848838,true,false,1639510742381081336,1639510742602205509,1639510742602342713,1639510742612903512,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,120,0.0006453427459361941,-0.0002230211778357993,true,false,1639510742666303527,1639510742896005943,1639510742896061844,1639510742905941824,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,123,0.000657973337510232,-0.00022135156924848838,true,false,1639510742959099832,1639510743187819920,1639510743187858721,1639510743209190026,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,126,0.0006957678818646061,-0.00022244039351851862,true,false,1639510743249820979,1639510743479693399,1639510743479761201,1639510743496005762,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,129,0.0007197496240906925,-0.0002210969226344551,true,false,1639510743541817562,1639510743769195211,1639510743769240013,1639510743779836113,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,132,0.000739157453271036,-0.00022263365189690136,true,false,1639510743832699513,1639510744058889229,1639510744058973231,1639510744069489930,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,135,0.0007487412661974963,-0.00022135156924848838,true,false,1639510744121831914,1639510744342534075,1639510744342568076,1639510744353590289,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,138,0.0007294940167727948,-0.00022276267748478696,true,false,1639510744404983446,1639510744626269923,1639510744626362326,1639510744643361708,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,141,0.0007081545111483615,-0.00022135156924848838,true,false,1639510744688662993,1639510744909356654,1639510744909408655,1639510744919589844,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,144,0.0006706785443693664,-0.00022289185271093066,true,false,1639510744971518617,1639510745192598788,1639510745192690291,1639510745202596572,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,147,0.000657973337510232,-0.00022135156924848838,true,false,1639510745259002772,1639510745479242019,1639510745479323522,1639510745489247503,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,150,0.0006453427459361941,-0.00022276267748478696,true,false,1639510745541310780,1639510745763522383,1639510745763564384,1639510745779407934,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,153,0.000657973337510232,-0.00022135156924848838,true,false,1639510745825868252,1639510746046420108,1639510746046571112,1639510746056868705,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,156,0.0006337101668690907,-0.00022289185271093066,true,false,1639510746114983753,1639510746330146557,1639510746330191258,1639510746340359346,,,,,,
